LULC;NAME;HABITAT;pr_rd_c;sc_rd_c;urban_c;rures_c;crop_c
10;Other forest;1;0.86;0.82;0.6;0.5;0.3
11;Normal dense forest;1;0.86;0.82;0.6;0.5;0.3
12;Open forest (unproductive areas);1;0.86;0.82;0.6;0.5;0.3
13;Open forest (agricultural areas);1;0.86;0.82;0.6;0.5;0.3
14;Forest stripes edges;1;0.86;0.82;0.6;0.5;0.3
15;Brush forest;0.91;0.86;0.82;0.5;0.4;0.4
16;Scrub vegetation;0.91;1;1;0.5;0.4;0.4
18;Clusters of trees (on agricultural areas);0;0;0;0;0;0
19;Other woods;1;0.86;0.82;0.6;0.5;0.3
31;Motorways;0;0;0;0;0;0
33;Roads and paths;0;0;0;0;0;0
34;Parking areas;0;0;0;0;0;0
35;Railway station grounds;0;0;0;0;0;0
36;Railway lines;0;0;0;0;0;0
37;Airports;0;0;0;0;0;0
38;Airfields green airport environs;0;0;0;0;0;0
41;Industrial ground;0;0;0;0;0;0
45;Land around 25 (One- and two family houses);0;0;0;0;0;0
46;Land around 26 (Terraced houses);0;0;0;0;0;0
47;Land around 27 (Blocks of flats);0;0;0;0;0;0
48;Land around 28 (Agricultural buildings);0;0;0;0;0;0
49;Land around 29 (Unspecified buildings);0;0;0;0;0;0
51;Sport ground;0;0;0;0;0;0
52;Garden allotments;0;0;0;0;0;0
53;Camping caravan sites;0;0;0;0;0;0
54;Golf courses;0;0;0;0;0;0
56;Cemeteries;0;0;0;0;0;0
59;Public parks;0;0;0;0;0;0
61;Other energy buildings;0;0;0;0;0;0
62;Other supply or waster treatment plants;0;0;0;0;0;0
63;Waster water treatment plants;0;0;0;0;0;0
64;Discharges;0;0;0;0;0;0
65;Quarries, mines, dumps;0;0;0;0;0;0
66;Construction sites;0;0;0;0;0;0
67;Green railway environs;0;0;0;0;0;0
68;Green road environs;0;0;0;0;0;0
71;Regular vineyards;0;0;0;0;0;0
72;"""Pergola"" vineyards";0;0;0;0;0;0
73;Extensive vines;0;0;0;0;0;0
75;Intensive orchards;0;0;0;0;0;0
76;Rows of fruit trees;0;0;0;0;0;0
78;Horticulture;0;0;0;0;0;0
81;Favourable arable land and meadows;0;0;0;0;0;0
82;Other arable land and meadows;0;0;0;0;0;0
83;Farm pastures;0;0;0;0;0;0
84;Brush meadows and farm pastures;0.81;1;1;0.5;0.2;0.5
85;Mountain meadows;1;1;1;0.3;0.2;0.5
86;Brush alpine pastures;1;1;1;0.3;0.4;0.5
87;Remote and steep alpine meadows and pastures;1;1;1;0.3;0.2;0.5
88;Favourable alpine pastures;1;1;1;0.3;0.2;0.5
89;Rocky alpine pastures;1;1;1;0.3;0.2;0.5
9;Forest fresh cuts;0.81;0.86;0.82;0.6;0.5;0.3
90;Glacier;1;1;1;0.3;0.2;0.2
91;Lake;0.91;0.2;0.2;0.8;0.7;0.6
92;River;1;0.2;0.2;0.8;0.7;0.6
95;Wetlands;0.91;1;1;0.6;0.7;0.6
96;Water shore vegetation;0;0;0;0;0;0
97;Unproductive grass and shrubs;1;1;1;0.3;0.4;0.4
99;Bare rock;1;0;0;0;0;0
